slug,old_category,new_category,title
"result-of-postgraduate-mphil-biochemistry-viva-examinations-session-march-2023-held-in-the-month-of-december-2023-12-21-2023","circular","examination","Result of Postgraduate M.Phil Biochemistry (VIVA) Examinations Session March 2023 held in the month of December, 2023."
"results-of-ms-gynaecology-obstetrics-part-i-and-dgo-diploma-in-gynecology-obstetrics-12-21-2023","circular","examination","Results of MS GYNAECOLOGY & OBSTETRICS PART I and DGO DIPLOMA IN GYNECOLOGY & OBSTETRICS)"
"notice-for-postgraduate-of-surgery-allied-for-the-interview-for-session-january-2024-12-19-2023","circular","job","Notice for Postgraduate of Surgery & Allied for the interview for Session January 2024"
"schedule-of-postgraduate-examinations-of-session-september-2023-12-19-2023","circular","examination","Schedule of Postgraduate Examinations of Session September, 2023"
"notice-for-postgraduate-of-medicine-allied-for-the-interview-12-18-2023","circular","job","Notice for Postgraduate of Medicine & Allied for the interview"
"result-of-postgraduate-degree-and-diploma-theory-examination-march-2023-12-16-2023","circular","examination","Result of Postgraduate Degree and Diploma (Theory) Examination March, 2023"
"time-table-for-mphil-biochemistry-part-i-and-part-ii-and-mphil-microbiology-part-ii-viva-examination-session-march-2023-12-14-2023","circular","examination","Time Table for MPHIL Biochemistry Part-I and Part-II and M.PHIL Microbiology Part-II Viva Examination - Session March, 2023"
"result-of-entry-test-of-fcps-ii-programs-12-09-2023","circular","examination","Result of Entry Test of FCPS-II Programs"
"admissions-for-mbbs-bds-courses-session-2023-24-12-01-2023","circular","admission","Admissions for MBBS / BDS Courses Session 2023-24"
"result-of-final-professional-bds-final-year-supplementary-examination-session-2018-2019-of-bibi-aseefa-dental-college-larkana-held-in-the-month-of-november-2023-11-29-2023","circular","examination","Result of Final Professional BDS, Final Year (Supplementary) Examination, Session 2018-2019 of Bibi Aseefa Dental College, Larkana held in the month of November 2023"
"result-of-postgraduate-entry-test-and-part-i-examination-session-january-2024-11-28-2023","circular","examination","Result of Postgraduate Entry Test and Part-I Examination Session January 2024"
"admission-for-certification-in-health-professionals-education-c-hpe-session-2024-batch-04-11-14-2023","circular","admission","Admission for Certification in Health Professionals Education (C-HPE) Session 2024 Batch-04"
"resutl-of-postgraduate-degree-diploma-theory-examination-march-2023-held-in-the-month-of-october-2023-11-14-2023","circular","examination","Resutl of Postgraduate Degree & Diploma (Theory) Examination March 2023 held in the month of October 2023."
"result-postgraduate-degree-and-diploma-theory-examination-march-2023-held-in-the-month-of-october-2023-11-04-2023","circular","examination","Result Postgraduate Degree and Diploma (Theory) Examination March, 2023 held in the month of October, 2023."
"corrigendum-for-advertisement-for-admissions-in-various-postgraduate-programs-for-the-session-january-2024-10-31-2023","circular","admission","Corrigendum for Advertisement for admissions in various Postgraduate Programs for the Session January, 2024"
"time-table-for-postgraduate-examination-10-31-2023","circular","examination","Time Table for Postgraduate Examination"
"result-of-postgraduate-diploma-theory-examinations-march-2023-held-in-the-month-of-october-2023-10-21-2023","circular","examination","Result of Postgraduate Diploma (Theory) Examinations March 2023 held in the month of October, 2023."
"admission-for-postgraduate-courses-for-session-january-2024-10-21-2023","circular","admission","Admission for Postgraduate Courses for Session January 2024"
"result-of-postgraduate-degree-diploma-theory-examination-march-2023-held-in-the-month-of-october-2023-10-18-2023","circular","examination","Result of Postgraduate Degree & Diploma (Theory) Examination March 2023 held in the month of October 2023"
"result-of-bsc-post-rn-year-il-semester-iii-regular-examination-session-2020-21-of-benazir-college-of-nursing-smbbmu-larkana-sindhu-institute-of-nursing-khairpur-mirs-and-lareeb-mustafa-institute-of-nursing-gambat-held-in-the-month-of-august-2023-10-10-202","circular","examination","Result of BSC (POST-RN) Year-Il, Semester-III Regular Examination Session 2020-21 of Benazir College of Nursing, SMBBMU Larkana, Sindhu Institute of Nursing Khairpur Mirs, and Lareeb Mustafa Institute of Nursing Gambat, held in the month of August 2023."
"result-of-bsgeneric-year-ii-semester-iii-regular-examination-session-2020-21-held-in-the-month-of-august-2023-10-10-2023","circular","examination","Result of BS(GENERIC) Year-II, Semester-III Regular Examination Session 2020-21 held in the month of August 2023"
"result-of-first-professional-dpt-first-semester-re-sit-examination-session-2021-2022-of-iprs-smbbmu-larkana-moomal-institute-of-physiotherapy-allied-health-sciences-hyderabad-and-shaaf-institute-institute-of-medical-modern-sciences-larkana-10-03-2023","circular","examination","Result of First Professional DPT. First Semester Re-Sit Examination Session 2021-2022 of IPRS, SMBBMU Larkana, Moomal Institute of Physiotherapy & Allied Health Sciences Hyderabad and Shaaf Institute Institute of Medical & Modern Sciences Larkana"
"result-of-second-professional-dpt-third-semester-re-sit-examination-session-2020-2021-of-moomal-institute-of-physiotherapy-allied-health-sciences-hyderabad-held-in-the-month-of-september-2023-10-03-2023","circular","examination","Result of Second Professional DPT, Third Semester Re-Sit Examination Session 2020-2021 of Moomal Institute of Physiotherapy & Allied Health Sciences Hyderabad Held in the month of September 2023"
"result-of-third-professional-dpt-fifth-semester-re-sit-examination-session-2019-2020-of-institute-of-physiotherapy-rehabilitation-sciences-irs-smbbmu-larkana-held-in-the-month-of-august-2023-10-03-2023","circular","examination","Result of Third Professional DPT, Fifth Semester Re-Sit Examination Session 2019-2020 of Institute of Physiotherapy & Rehabilitation Sciences (IRS), SMBBMU Larkana Held in the month of August 2023"
"examination-schedule-of-postgraduate-courses-session-march-2023-10-02-2023","circular","examination","Examination Schedule of Postgraduate Courses Session March, 2023."
"result-of-postgraduate-diploma-clinical-examinations-of-diploma-in-psychiatric-medicine-september-2022-held-in-the-month-of-september-2023-09-22-2023","circular","examination","Result of Postgraduate Diploma (Clinical Examinations) of Diploma in Psychiatric Medicine September 2022 held in the month of September 2023"
"result-of-postgraduate-diploma-clinical-examination-september-2022-held-in-the-month-of-september-2023-09-13-2023","circular","examination","Result of Postgraduate Diploma (Clinical) Examination September, 2022 held in the month of September, 2023"
"result-of-bs-generic-year-ii-semester-vi-re-sit-examination-session-2018-19-of-benazir-college-of-nursing-smbbmu-larkana-held-in-the-month-of-august-2023-09-13-2023","circular","examination","Result of BS (GENERIC) Year-|II Semester VI Re-Sit Examination Session 2018-19 of Benazir College of Nursing, SMBBMU Larkana, held in the month of August 2023"
"time-table-of-diploma-in-psychiatric-medicine-dpm-clinical-examination-september-2022-09-08-2023","circular","examination","Time Table of Diploma in Psychiatric Medicine (DPM) Clinical Examination September, 2022"
"time-table-of-diploma-in-dermatology-dderm-examination-september-2022-09-08-2023","circular","examination","Time Table of Diploma in Dermatology (D.Derm) Examination September, 2022"
"result-of-postgraduate-degree-diploma-theory-examinations-september-2022-held-in-the-month-of-may-2023-09-06-2023","circular","examination","Result of Postgraduate Degree & Diploma (Theory) Examinations September 2022 held in the month of May 2023."
"time-table-of-diploma-in-gynaecology-and-obstetrics-dgo-examination-september-2022-09-06-2023","circular","examination","Time Table of Diploma in Gynaecology and Obstetrics (DGO) Examination September, 2022"
"interviews-of-postgraduate-courses-for-session-july-2023-08-07-2023","circular","job","Interviews of Postgraduate Courses for Session July 2023"
"schedule-of-entry-test-for-university-courses-session-july-2023-08-02-2023","circular","admission","Schedule of Entry test for University Courses Session July 2023"
"third-merit-list-of-students-of-smbbmu-larkana-who-applied-for-pm-laptop-scheme-07-31-2023","circular","admission","Third Merit List of Students of SMBBMU Larkana who applied for PM Laptop Scheme"
"notice-for-expression-of-interest-for-cafeteriamess-services-on-rental-basis-07-20-2023","tender","circular","Notice for Expression of interest for Cafeteria/Mess Services on Rental Basis"
"result-declaration-of-the-entry-test-of-postgraduate-course-07-10-2023","circular","examination","Result Declaration of the Entry Test of Postgraduate Course"
"results-of-postgraduate-degree-theory-examination-september-2022-held-in-the-month-of-may-2023-07-05-2023","circular","examination","Results of Postgraduate Degree (Theory) Examination September 2022 held in the month of May, 2023"
"result-of-postgraduate-diploma-clinical-examination-march-2022-held-in-the-month-of-june-2023-07-05-2023","circular","examination","Result of Postgraduate Diploma (Clinical) Examination March 2022 held in the month of June, 2023"
"result-of-bsngeneric-year-iii-semester-iv-re-sit-examination-session-2018-19-of-benazir-college-of-nursing-held-in-the-month-of-may-2023-07-05-2023","circular","examination","Result of BSN(Generic) Year-III Semester -IV Re-Sit Examination Session 2018-19 of Benazir College of Nursing, held in the Month of May 2023"
"admissions-for-postgraduate-courses-for-session-july-2023-07-01-2023","circular","admission","Admissions for Postgraduate Courses for Session July 2023"
"revised-result-of-third-professional-mbbs-third-year-annual-examination-session-2019-2020-of-chandka-medical-college-larkana-ghulam-muhammad-mahar-medical-college-sukkur-and-gambat-medical-college-gambat-held-in-the-month-of-january-2023-06-19-2023","circular","examination","Revised Result of Third Professional MBBS, Third Year (Annual) Examination, Session 2019-2020 of Chandka Medical College Larkana, Ghulam Muhammad Mahar Medical College Sukkur and Gambat Medical College Gambat held In the month of January 2023"
"time-table-of-md-pediatric-medicinemidterm-and-dch-examination-06-12-2023","circular","examination","Time Table of MD Pediatric Medicine(MidTerm) and DCH Examination"
"time-table-of-dip-card-diploma-in-cardiology-clinical-examination-march-2022-06-08-2023","circular","examination","TIME TABLE of DIP-CARD (DIPLOMA IN CARDIOLOGY) CLINICAL EXAMINATION - MARCH, 2022"
"circular-of-postgraduate-examinations-of-session-march-2023-in-all-degree-and-diploma-courses-06-08-2023","circular","examination","Circular of Postgraduate Examinations of Session March, 2023 in all Degree and Diploma courses."
"admission-for-certificate-in-health-professions-education-c-hpe-session-2023-05-30-2023","circular","admission","Admission for Certificate in Health Professions Education (C-HPE) Session 2023"
